Burn sample, txid: 6721ffe6166a9b8712ebd927d3a74937830454a8ebcff567cd1351922bacf5db, most_recent_burn: 110000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 110000]
Burn sample, txid: abc64822c03d6fc7035f1f6b4f0566a0162c4a66d9c77b8a7ee447c943e4b7d6, most_recent_burn: 15000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 15000]
Burn sample, txid: 4d1f2a671db389d35f9d2cad251a3f6450b3bab51834b1c6eb057a5c7454108e, most_recent_burn: 25000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 25000]
Burn sample, txid: 332ea0d56bd71effae5d7f42bb6a161d9dbaddb8f37c0feeb3ba8839e0d52eb4, most_recent_burn: 20000, median_burn: 20000, all_burns: [1, 1, 20000, 20000, 20000, 20000]
Burn sample, txid: f28fa7ab358be537205806b110eeb0591291a5966ec99d36cdc587f3f6e14499, most_recent_burn: 30000, median_burn: 15000, all_burns: [1, 1, 1, 30000, 30000, 30000]
Burn sample, txid: f07dc86f94476f9495445ff956e44960f6a2df17112eed9bbe1339f33fe715d9, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 504dfba6801cf2569bb78cca703171434fa4508b55ae10228e52c2a50656f913, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 20000, 20000]
Burn sample, txid: d33d953efb056d517863d236cccd7f0cd346962eb926d5b355584f4e842a3aad, most_recent_burn: 40000, median_burn: 1, all_burns: [1, 1, 1, 1, 40000, 40000]
Burn sample, txid: 8746df516b6d300a4ce4d862fc552fcf68ebcf7f7bce22194a5e9f04d68b7fce, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 20000, 20000]
Burn sample, txid: 6dd72d59d5bb41753388483bc340f3feb371fe3a5bd36f00a956046742d68ea4, most_recent_burn: 110000, median_burn: 1, all_burns: [1, 1, 1, 1, 110000, 110000]
Burn sample, txid: 2229c48bd8e0b333b4b4da355e0da356ecce996a76eaaeeeec2dded0c9b7f13c, most_recent_burn: 15000, median_burn: 1, all_burns: [1, 1, 1, 1, 15000, 15000]
Burn sample, txid: fa8af9919cfefbac243cf0f830f489976a38c027df7350dbf47459b35006827b, most_recent_burn: 25000, median_burn: 1, all_burns: [1, 1, 1, 1, 25000, 25000]
Burn sample, txid: 10ed5c061c0190d1b860b442b4b42ca814c21bbc365f3d7a47d4dd5c44679488, most_recent_burn: 35000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 35000]
Burn sample, txid: ae958fe7caa562bc8897d13da4f0873bf0b82ef3649790b85fcc64a70c677cc5, most_recent_burn: 20000, median_burn: 20000, all_burns: [1, 20000, 20000, 20000, 20000, 20000]
Burn sample, txid: 18f0b03ac02721dd657923bd9390177f825811c30f8e5ee4aaf229fa3e7a2ae4, most_recent_burn: 400000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 400000]
Burn sample, txid: 7c0f652dc2b5ec4820372404357226632935756b4f66384f902f6315918fd573, most_recent_burn: 30000, median_burn: 30000, all_burns: [1, 1, 30000, 30000, 30000, 30000]
Burn sample, txid: fe59624b71b84578edbe16c2e550df06500679f56ea89d7c4abdad50452cd9eb, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 1ff1c39c2c74d9e969326841be6688a39e5fc706a41a7a6d629da95750877134, most_recent_burn: 20000, median_burn: 10000, all_burns: [1, 1, 1, 20000, 20000, 20000]
Burn sample, txid: 4ed1715cb0aa51745f84f41879a16472ab24cbca5bd6c2e2bba7bdf9b93cb8e6, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 20000, 20000]
Burn sample, txid: 613917e841d40374145a33730fd277532fcc42450822399a577d9700bd374def, most_recent_burn: 60000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 60000]
Burn sample, txid: 935439e2fccc589f4924537ecec1b76a3d1bf913aa2f82b1b1662750a9c93ca1, most_recent_burn: 40000, median_burn: 20000, all_burns: [1, 1, 1, 40000, 40000, 40000]
Burn sample, txid: e02f439ad0517e37b7cab20fdddf7ab073d04c750a2022bc4966f53d92c0ede8, most_recent_burn: 110000, median_burn: 55000, all_burns: [1, 1, 1, 110000, 110000, 110000]
Burn sample, txid: a6051ac3dccb0b60201ea4808072c7b044cc224d889c1dc5347370f243392e38, most_recent_burn: 20000, median_burn: 10000, all_burns: [1, 1, 1, 20000, 20000, 20000]
Burn sample, txid: 42fce6246bce1c38f16d64cc6e7b3b752756dccca31f18c88b0c847e40b6b0f7, most_recent_burn: 15000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 15000]
Burn sample, txid: 09834e71528b2b2d162ab549a6f37276c327eec98560b8dfbf7028d098e78afe, most_recent_burn: 25000, median_burn: 12500, all_burns: [1, 1, 1, 25000, 25000, 25000]
Burn sample, txid: 8409b927b21f5ed43b8ed2cce68b1d815d1efa21c0dd5cabd6ef4dead464057a, most_recent_burn: 400000, median_burn: 1, all_burns: [1, 1, 1, 1, 400000, 400000]
Burn sample, txid: 646a6cbfeb93dc9a13140bcc09e8b94b034da4456db347e3686290aaf3209a12, most_recent_burn: 30000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 30000]
Burn sample, txid: 10ce6f0cb6e7aab0597a60ee5e788a118973f88d338a31e0e24f4fef51a8079c, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: d4d238674ffb9e6713b7ce72166eb8d4a4b1938ec8938cfa74a7fe0f389314e7, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 23f3b62f9bb8ddaa43dce3ccd44c4e6efcbff8db96030c582f591a60535e16d9, most_recent_burn: 40000, median_burn: 40000, all_burns: [1, 1, 40000, 40000, 40000, 40000]
Burn sample, txid: 79161132fc8756bc0d8599ab933ea09b07c3064271d7c560b9f2e52adf8fd888, most_recent_burn: 110000, median_burn: 110000, all_burns: [1, 1, 110000, 110000, 110000, 110000]
